Unnamed: 0,MS SubClass,Lot Frontage,Lot Area,HouseStyle_MedianPrice,BldgType_MedianPrice,Neighborhood_MedianPrice,Combo_PriceMean,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Mo Sold,Yr Sold,hasPool,FireplaceQu_Ex,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_None,FireplaceQu_Po,FireplaceQu_TA,Paved_Street,Fence_Quality,MasVnr_Quality,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,Garage_Age,GarageFinish_encoded,Garage_Cond,Garage_Qual,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,Has_Good_BsmtFin1,Has_Good_BsmtFin2,Has_Iregular_Lot_Shape,Land_Contour,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,GoodCond1,BadCond1,RoofStyle_Gable,RoofStyle_Hip,RoofStyle_Other,RoofMatl_CompShg,RoofMatl_Other,Foundation_CBlock,Foundation_Other,Foundation_PConc,Central_Air,Kitchen_Qual,PavedDrive_Full,PavedDrive_Partial,Heating_QC,Heating_GasA,Exter_Qual,Exter_Cond,Exterior1st_Simp_BrkFace,Exterior1st_Simp_CemntBd,Exterior1st_Simp_HdBoard,Exterior1st_Simp_MetalSd,Exterior1st_Simp_Other,Exterior1st_Simp_Plywood,Exterior1st_Simp_VinylSd,Exterior1st_Simp_Wd Sdng,Exterior2nd_Simp_CmentBd,Exterior2nd_Simp_HdBoard,Exterior2nd_Simp_MetalSd,Exterior2nd_Simp_Other,Exterior2nd_Simp_Plywood,Exterior2nd_Simp_VinylSd,Exterior2nd_Simp_Wd Sdng,Exterior2nd_Simp_Wd Shng,Functional_Encoded,SaleType_Best,SaleType_Good,SaleType_Average,SaleType_Low,SaleCond_High,SaleCond_Typical,SaleCond_Low
6,120,41.0,4920,155000.0,180000.0,319000.0,212000.0,8,5,2001,2001,0.0,616.0,0.0,722.0,1338.0,5,1338,0,0,1338,1.0,0.0,2,0,2,1,6,0,2.0,582.0,0,0,170,0,0,4,2010,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,9.0,3,3,3,4,3,2.0,1,0,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,4,1,0,5,1,3,3,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4,0,1,0,0,0,1,0
3,20,93.0,11160,155000.0,165000.0,140000.0,140000.0,7,5,1968,1968,0.0,1065.0,0.0,1045.0,2110.0,5,2110,0,0,2110,1.0,0.0,2,1,3,1,8,2,2.0,522.0,0,0,0,0,0,4,2010,0,0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,42.0,3,3,3,3,3,1.0,0,0,0,2,True,False,False,False,False,True,False,False,0,0,False,True,False,True,False,True,False,False,1,5,1,0,5,1,3,3,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,4,0,1,0,0,0,1,0
7,120,43.0,5005,155000.0,180000.0,319000.0,212000.0,8,5,1992,1992,0.0,263.0,0.0,1017.0,1280.0,5,1280,0,0,1280,0.0,0.0,2,0,2,1,5,0,2.0,506.0,0,82,0,0,144,1,2010,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,18.0,2,3,3,4,3,1.0,0,0,1,4,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,4,1,0,5,1,3,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,4,0,1,0,0,0,1,0
4,60,74.0,13830,189000.0,165000.0,183000.0,185000.0,5,5,1997,1998,0.0,791.0,0.0,137.0,928.0,5,928,701,0,1629,0.0,0.0,2,1,3,1,6,1,2.0,482.0,212,34,0,0,0,3,2010,0,0,0,0,0,0,1,1,3,0,False,True,False,False,False,False,13.0,3,3,3,4,3,1.0,1,0,1,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,3,1,0,4,1,2,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,0,1,0,0,0,1,0
6,120,41.0,4920,155000.0,180000.0,319000.0,212000.0,8,5,2001,2001,0.0,616.0,0.0,722.0,1338.0,5,1338,0,0,1338,1.0,0.0,2,0,2,1,6,0,2.0,582.0,0,0,170,0,0,4,2010,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,9.0,3,3,3,4,3,2.0,1,0,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,4,1,0,5,1,3,3,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4,0,1,0,0,0,1,0
9,60,60.0,7500,189000.0,165000.0,183000.0,185000.0,7,5,1999,1999,0.0,0.0,0.0,994.0,994.0,5,1028,776,0,1804,0.0,0.0,2,1,3,1,7,1,2.0,442.0,140,60,0,0,0,6,2010,0,0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,11.0,3,3,3,3,3,1.0,0,0,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,4,1,0,4,1,2,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,0,1,0,0,0,1,0
2,20,81.0,14267,155000.0,165000.0,140000.0,140000.0,6,6,1958,1958,108.0,923.0,0.0,406.0,1329.0,5,1329,0,0,1329,0.0,0.0,1,1,3,1,6,0,1.0,312.0,393,36,0,0,0,6,2010,0,0,0,0,1,0,0,1,0,2,False,True,False,False,False,False,52.0,1,3,3,3,3,1.0,0,0,1,2,True,False,False,False,False,True,False,False,0,0,False,True,False,True,False,True,False,False,1,4,1,0,3,1,2,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,4,0,1,0,0,0,1,0
6,120,41.0,4920,155000.0,180000.0,319000.0,212000.0,8,5,2001,2001,0.0,616.0,0.0,722.0,1338.0,5,1338,0,0,1338,1.0,0.0,2,0,2,1,6,0,2.0,582.0,0,0,170,0,0,4,2010,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,9.0,3,3,3,4,3,2.0,1,0,0,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,4,1,0,5,1,3,3,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4,0,1,0,0,0,1,0
7,120,43.0,5005,155000.0,180000.0,319000.0,212000.0,8,5,1992,1992,0.0,263.0,0.0,1017.0,1280.0,5,1280,0,0,1280,0.0,0.0,2,0,2,1,5,0,2.0,506.0,0,82,0,0,144,1,2010,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,18.0,2,3,3,4,3,1.0,0,0,1,4,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,4,1,0,5,1,3,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,4,0,1,0,0,0,1,0
4,60,74.0,13830,189000.0,165000.0,183000.0,185000.0,5,5,1997,1998,0.0,791.0,0.0,137.0,928.0,5,928,701,0,1629,0.0,0.0,2,1,3,1,6,1,2.0,482.0,212,34,0,0,0,3,2010,0,0,0,0,0,0,1,1,3,0,False,True,False,False,False,False,13.0,3,3,3,4,3,1.0,1,0,1,2,False,False,False,False,True,True,False,False,0,0,True,False,False,True,False,False,False,True,1,3,1,0,4,1,2,3,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,4,0,1,0,0,0,1,0
