MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,hasPool,FireplaceQu_Ex,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_None,FireplaceQu_Po,FireplaceQu_TA,Paved_Street,Fence_Quality,MasVnr_Quality,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,Garage_Age,GarageFinish_encoded,Garage_Cond,Garage_Qual,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,Has_Good_BsmtFin1,Has_Good_BsmtFin2
20,RL,141.0,31770,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,112.0,TA,TA,CBlock,639.0,0.0,441.0,1080.0,GasA,Fa,Y,5,1656,0,0,1656,1.0,0.0,1,0,3,1,TA,7,Typ,2,2.0,528.0,P,210,62,0,0,0,5,2010,WD ,Normal,215000,0,0,0,1,0,0,0,1,0,3,False,True,False,False,False,False,50.0,3,3,3,3,4,4.0,0,0
20,RH,80.0,11622,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,468.0,144.0,270.0,882.0,GasA,TA,Y,5,896,0,0,896,0.0,0.0,1,0,2,1,TA,5,Typ,0,1.0,730.0,Y,140,0,0,0,120,6,2010,WD ,Normal,105000,0,0,0,0,1,0,0,1,3,0,False,True,False,False,False,False,49.0,1,3,3,3,3,1.0,0,0
20,RL,81.0,14267,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,108.0,TA,TA,CBlock,923.0,0.0,406.0,1329.0,GasA,TA,Y,5,1329,0,0,1329,0.0,0.0,1,1,3,1,Gd,6,Typ,0,1.0,312.0,Y,393,36,0,0,0,6,2010,WD ,Normal,172000,0,0,0,0,1,0,0,1,0,2,False,True,False,False,False,False,52.0,1,3,3,3,3,1.0,0,0
20,RL,93.0,11160,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,0.0,Gd,TA,CBlock,1065.0,0.0,1045.0,2110.0,GasA,Ex,Y,5,2110,0,0,2110,1.0,0.0,2,1,3,1,Ex,8,Typ,2,2.0,522.0,Y,0,0,0,0,0,4,2010,WD ,Normal,244000,0,0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,42.0,3,3,3,3,3,1.0,0,0
60,RL,74.0,13830,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,791.0,0.0,137.0,928.0,GasA,Gd,Y,5,928,701,0,1629,0.0,0.0,2,1,3,1,TA,6,Typ,1,2.0,482.0,Y,212,34,0,0,0,3,2010,WD ,Normal,189900,0,0,0,0,0,0,1,1,3,0,False,True,False,False,False,False,13.0,3,3,3,4,3,1.0,1,0
60,RL,78.0,9978,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,20.0,TA,TA,PConc,602.0,0.0,324.0,926.0,GasA,Ex,Y,5,926,678,0,1604,0.0,0.0,2,1,3,1,Gd,7,Typ,1,2.0,470.0,Y,360,36,0,0,0,6,2010,WD ,Normal,195500,0,0,0,1,0,0,0,1,0,2,False,True,False,False,False,False,12.0,3,3,3,3,3,1.0,1,0
120,RL,41.0,4920,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,0.0,Gd,TA,PConc,616.0,0.0,722.0,1338.0,GasA,Ex,Y,5,1338,0,0,1338,1.0,0.0,2,0,2,1,Gd,6,Typ,0,2.0,582.0,Y,0,0,170,0,0,4,2010,WD ,Normal,213500,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,9.0,3,3,3,4,3,2.0,1,0
120,RL,43.0,5005,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,0.0,Gd,TA,PConc,263.0,0.0,1017.0,1280.0,GasA,Ex,Y,5,1280,0,0,1280,0.0,0.0,2,0,2,1,Gd,5,Typ,0,2.0,506.0,Y,0,82,0,0,144,1,2010,WD ,Normal,191500,0,0,0,0,1,0,0,1,0,0,False,True,False,False,False,False,18.0,2,3,3,4,3,1.0,0,0
120,RL,39.0,5389,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,0.0,Gd,TA,PConc,1180.0,0.0,415.0,1595.0,GasA,Ex,Y,5,1616,0,0,1616,1.0,0.0,2,0,2,1,Gd,5,Typ,1,2.0,608.0,Y,237,152,0,0,0,3,2010,WD ,Normal,236500,0,0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,15.0,2,3,3,4,3,1.0,1,0
60,RL,60.0,7500,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,0.0,0.0,994.0,994.0,GasA,Gd,Y,5,1028,776,0,1804,0.0,0.0,2,1,3,1,Gd,7,Typ,1,2.0,442.0,Y,140,60,0,0,0,6,2010,WD ,Normal,189000,0,0,0,0,0,0,1,1,0,0,False,True,False,False,False,False,11.0,3,3,3,3,3,1.0,0,0
